
D:\projects\gba_emu>bin\main
0x00000000: 0xEA000018 INSTRUCTION_B, cpsr = 0x0000001F
0x00000068: 0xE35E0000 INSTRUCTION_CMP, cpsr = 0x0000001F
0x0000006C: 0x03A0E004 INSTRUCTION_MOV, cpsr = 0x6000001F
0x00000070: 0xE3A0C301 INSTRUCTION_MOV, cpsr = 0x6000001F
0x00000074: 0xE5DCC300 INSTRUCTION_LDR, cpsr = 0x6000001F
0x00000078: 0xE33C0001 INSTRUCTION_TEQ, cpsr = 0x6000001F
0x0000008C: 0xE3A000DF INSTRUCTION_MOV, cpsr = 0x0000001F
0x00000090: 0xE129F000 INSTRUCTION_MSR, cpsr = 0x0000001F
0x00000094: 0xE3A04301 INSTRUCTION_MOV, cpsr = 0x000000DF
0x00000098: 0xE5C44208 INSTRUCTION_STR, cpsr = 0x000000DF
0x0000009C: 0xEB00000F INSTRUCTION_B, cpsr = 0x000000DF
0x000000E0: 0xE3A000D3 INSTRUCTION_MOV, cpsr = 0x000000DF
0x000000E4: 0xE129F000 INSTRUCTION_MSR, cpsr = 0x000000DF
0x000000E8: 0xE59FD0D0 INSTRUCTION_LDR, cpsr = 0x000000D3
0x000000EC: 0xE3A0E000 INSTRUCTION_MOV, cpsr = 0x000000D3
0x000000F0: 0xE169F00E INSTRUCTION_MSR, cpsr = 0x000000D3
0x000000F4: 0xE3A000D2 INSTRUCTION_MOV, cpsr = 0x000000D3
0x000000F8: 0xE129F000 INSTRUCTION_MSR, cpsr = 0x000000D3
0x000000FC: 0xE59FD0B8 INSTRUCTION_LDR, cpsr = 0x000000D2
0x00000100: 0xE3A0E000 INSTRUCTION_MOV, cpsr = 0x000000D2
0x00000104: 0xE169F00E INSTRUCTION_MSR, cpsr = 0x000000D2
0x00000108: 0xE3A0005F INSTRUCTION_MOV, cpsr = 0x000000D2
0x0000010C: 0xE129F000 INSTRUCTION_MSR, cpsr = 0x000000D2
0x00000110: 0xE59FD0A0 INSTRUCTION_LDR, cpsr = 0x0000005F
0x00000114: 0xE28F0001 INSTRUCTION_ADD, cpsr = 0x0000005F
0x00000118: 0xE12FFF10 INSTRUCTION_BX, cpsr = 0x0000005F
    Changing mode: ARM -> THUMB
0x0000011C: 0x00002000 INSTRUCTION_MOVE_COMPARE_ADD_SUBTRACT_IMMEDIATE, cpsr = 0x0000007F
0x0000011E: 0x00004958 INSTRUCTION_PC_RELATIVE_LOAD, cpsr = 0x4000007F
0x00000120: 0x00005060 INSTRUCTION_LOAD_STORE_WITH_REGISTER_OFFSET, cpsr = 0x4000007F
0x00000122: 0x00001D09 INSTRUCTION_ADD_SUBTRACT, cpsr = 0x4000007F
0x00000124: 0x0000DBFC INSTRUCTION_CONDITIONAL_BRANCH, cpsr = 0x8000007F
0x00000120: 0x00005060 INSTRUCTION_LOAD_STORE_WITH_REGISTER_OFFSET, cpsr = 0x8000007F
0x00000122: 0x00001D09 INSTRUCTION_ADD_SUBTRACT, cpsr = 0x8000007F
0x00000124: 0x0000DBFC INSTRUCTION_CONDITIONAL_BRANCH, cpsr = 0x8000007F
0x00000120: 0x00005060 INSTRUCTION_LOAD_STORE_WITH_REGISTER_OFFSET, cpsr = 0x8000007F
0x00000122: 0x00001D09 INSTRUCTION_ADD_SUBTRACT, cpsr = 0x8000007F
0x00000124: 0x0000DBFC INSTRUCTION_CONDITIONAL_BRANCH, cpsr = 0x8000007F
0x00000120: 0x00005060 INSTRUCTION_LOAD_STORE_WITH_REGISTER_OFFSET, cpsr = 0x8000007F
0x00000122: 0x00001D09 INSTRUCTION_ADD_SUBTRACT, cpsr = 0x8000007F
0x00000124: 0x0000DBFC INSTRUCTION_CONDITIONAL_BRANCH, cpsr = 0x8000007F
0x00000120: 0x00005060 INSTRUCTION_LOAD_STORE_WITH_REGISTER_OFFSET, cpsr = 0x8000007F
0x00000122: 0x00001D09 INSTRUCTION_ADD_SUBTRACT, cpsr = 0x8000007F
